,Latitude,Longitude,City,Country,Temperature,Humidity,Clouds,Wind
0,84.61013265618996,124.96461741135829,tiksi,ru,-35.29,66,12,3.15
1,62.16050665878251,-103.51597052407368,la ronge,ca,-4.01,70,90,12.75
2,69.94033825213177,-173.6297963784142,lavrentiya,ru,17.82,99,24,5.5
3,86.28944258249453,-144.33136661761927,barrow,us,33.8,53,1,13.87
4,-5.5752089835169585,163.77985729145962,auki,sb,77.67,100,92,8.97
5,-48.71312019094232,-125.61238290407626,rikitea,pf,76.59,100,24,11.32
7,35.34883907325084,109.40240243257159,tongchuan,cn,33.8,31,0,6.71
8,68.14798407491932,-37.18624061798292,tasiilaq,gl,28.4,68,88,12.75
9,-39.63560009912356,-48.50424196201024,chuy,uy,67.23,94,36,6.62
10,-0.06624458245444487,-95.97362748817966,puerto ayora,ec,75.15,100,88,5.95
11,-24.004824282095257,106.55966085584231,carnarvon,au,83.56,71,0,16.8
12,6.104912634431187,167.65546063384272,butaritari,ki,82.44,100,76,14.79
13,29.42210830174669,-110.93118871078471,hermosillo,mx,69.8,48,5,6.93
15,-35.23575609595796,-8.829420118314943,jamestown,sh,71.68,100,92,17.47
16,68.94330166881895,117.78208566903231,saskylakh,ru,-27.77,44,68,3.38
17,-37.083778025141726,15.623576800821809,cape town,za,68,60,20,19.46
18,-7.141502847145404,48.91595355052644,ambilobe,mg,80.01,100,0,4.27
19,8.994998656515705,-164.71407660236972,makakilo city,us,74.34,78,75,11.41
20,-50.73951718264252,-167.68620778421632,vaini,to,78.8,88,75,11.41
23,67.15460532847271,-89.42391831049035,thompson,ca,-5.81,76,90,14.99
24,52.44377076105735,149.2062373890119,vostok,ru,1.26,58,44,4.38
25,35.669991833330215,29.414727544027784,fethiye,tr,41,93,0,6.93
26,-54.08534919995146,146.1157252638106,hobart,au,60.8,41,40,18.34
27,-47.48781314045158,73.40979203910177,souillac,mu,84.2,79,75,12.75
28,-75.64516550646577,121.33721539331071,albany,au,74.79,49,64,18.03
29,19.957058436670692,114.41270511204448,zhuhai,cn,14,36,0,4.47
30,72.3081474429379,-9.05617456761675,hofn,is,33.61,100,0,21.83
31,13.028943123569022,46.28625609716195,aden,ye,75.01,100,80,17.81
33,-61.42254042954347,71.8150319193937,saint-philippe,re,86.11,70,0,4.7
35,-0.9957344524241023,-125.2743336860768,atuona,pf,81.9,98,24,15.79
36,-56.51504515768912,-103.65460794571788,punta arenas,cl,44.6,81,75,11.41
39,-28.92572591016041,-27.460417251628996,sao joao da barra,br,73.89,100,68,13
40,22.65233938837912,-174.37293684867512,kapaa,us,67.87,68,90,17.22
41,25.539763695015864,81.48991887652483,bharwari,in,67.77,81,0,9.42
42,63.942390448641504,126.29256418251424,sangar,ru,-34.75,63,0,4.27
45,55.48673616698659,109.03855075977475,severobaykalsk,ru,-2.84,66,48,2.37
46,31.6064162567466,-12.309095550611659,teguise,es,50,87,20,8.05
48,-23.810960877052338,178.3725955457959,isangel,vu,82.21,100,64,6.51
49,-16.58879664359874,116.56359831223239,karratha,au,92.07,41,12,8.97
51,-50.53861171363917,85.32931121249595,busselton,au,77.76,77,0,11.21
53,41.70151516850612,6.7333761317369465,hyeres,fr,44.73,93,12,1.12
54,-51.828725120488784,-39.90505436538726,mar del plata,ar,55.03,59,0,18.59
56,85.3639853111296,38.29208634617146,vardo,no,22.6,78,20,14.99
58,63.453937058866956,137.76708944974843,khandyga,ru,-29.84,48,64,3.6
60,-31.87465826332317,108.52118533687303,geraldton,au,87.8,33,0,19.46
62,-1.5780884938501174,-31.549098552971742,touros,br,79.06,88,92,12.55
64,28.669839343308197,-121.46243324794308,rosarito,mx,59.04,79,20,3.15
66,-5.662000525791228,61.597468288113106,victoria,sc,82.4,74,75,5.82
67,-59.790327091897936,176.03944841645222,kaitangata,nz,80.59,31,88,11.77
68,-41.522051641631826,-39.96438160608119,cidreira,br,70.92,93,36,9.53
72,78.92456333257337,27.624394617016605,mehamn,no,19.26,72,40,6.93
73,47.612623642049925,-111.72925563546954,great falls,us,29.28,54,75,20.8
74,-23.760769583786995,151.25777476749647,gladstone,au,90.36,56,48,5.17
76,-71.57175005052724,-59.436408076862435,ushuaia,ar,33.34,100,48,4.94
79,57.482211386530935,159.5464140770868,tigil,ru,34.29,85,56,13.22
82,-6.561314311353726,-38.56510467451977,triunfo,br,65.83,94,0,5.28
84,61.756390401586344,137.5533806620369,solnechnyy,ru,-5.09,68,0,4.27
86,33.88219191279106,166.23064061799278,severo-kurilsk,ru,25.38,100,24,5.61
88,71.38816454306499,-45.83368300959927,ilulissat,gl,3.2,59,68,19.46
89,-88.57836778434816,126.61491943332612,new norfolk,au,60.8,41,40,18.34
90,51.30934112430032,-23.073536506390923,vestmannaeyjar,is,29.97,100,0,15.23
92,75.26639832483804,-123.40804040928272,norman wells,ca,-23.81,67,75,3.15
93,67.98209548206523,158.1077679523807,cherskiy,ru,20.7,74,0,8.08
94,85.84671330703628,143.1332815388654,chokurdakh,ru,-23.68,36,8,3.15
97,-13.224476605804227,43.63061499949626,fomboni,km,81.04,100,88,6.73
99,47.79784362312432,172.28443270504442,nikolskoye,ru,14,85,75,8.95
100,-16.67322763002855,-17.23620722452452,georgetown,sh,77.53,100,68,15.79
103,70.79282563479254,73.08620351768965,yar-sale,ru,8.91,94,76,14
105,-7.59559072064296,-87.49583100558141,paita,pe,70.96,83,32,3.83
106,36.72301128182217,0.23958716785602974,sidi ali,dz,43.69,82,68,3.49
107,26.244019576023305,-114.27985901384491,guerrero negro,mx,57.15,66,0,2.93
108,-31.720933868894285,-89.55180431107377,lebu,cl,55.84,92,0,24.74
109,60.74405759689543,96.59087504769991,baykit,ru,1.35,68,48,8.41
110,47.99161654896321,-107.07818846148055,assiniboia,ca,15.12,85,0,8.97
111,2.6867208567358603,-161.69306086241636,hilo,us,61.36,73,75,3.36
112,69.33977400492915,-105.70023855776611,yellowknife,ca,-22.01,67,40,9.17
114,48.29865370614223,101.87594200124948,bulgan,mn,7.56,46,48,5.61
119,13.809127304532453,83.60494047833942,amalapuram,in,82.21,58,0,3.38
120,8.333215183866386,-34.3587609209539,sao filipe,cv,68.67,100,36,20.83
121,64.23294677809537,-143.69239156717958,fairbanks,us,-21.5,75,1,6.73
122,41.26792534461447,-47.843992639410146,torbay,ca,44.6,100,90,23.04
124,-87.57871436771217,44.24968162162918,port alfred,za,70.2,92,32,8.08
126,4.893773787786742,-6.429971246799823,san-pedro,ci,77,94,0,2.24
128,80.5256973384814,73.4948354440663,dikson,ru,9.27,99,80,13
130,-28.667891060751636,18.982716533221577,warmbad,na,63.45,64,0,4.61
131,0.9134954391417125,115.77299026167617,bontang,id,84.19,92,44,8.3
135,3.3311063316084386,1.3232387994281396,anloga,gh,77,94,40,2.24
137,-24.14227851107391,14.672193025957768,walvis bay,na,62.6,82,90,4.7
140,21.192130769859148,80.5443441861442,dongargaon,in,82.44,44,12,4.05
145,32.263350737554646,68.16661050654378,sharan,af,28.89,100,92,3.15
148,41.10467556840334,-86.62316045985234,plymouth,us,30.07,68,40,6.93
149,70.66592426554868,167.81711292304283,pevek,ru,2.56,68,8,2.93
151,-41.424400933052574,34.79542161697046,east london,za,68,94,90,9.17
152,13.377298363030462,37.407555182520895,dabat,et,62.64,41,0,2.93
153,52.420816967617895,68.59714639998671,atbasar,kz,-0.77,77,0,11.21
158,14.74775177029521,-11.146630412047216,kayes,ml,72.13,56,88,2.15
159,-0.9371144832562237,155.36181856309946,namatanai,pg,82.17,100,92,10.98
160,31.074549773564726,66.72413520002584,chaman,pk,43.06,98,92,10.65
162,68.12621770991336,111.44906726842578,udachnyy,ru,-17.56,74,64,3.27
163,-3.235971591114776,-27.006150510514914,natal,br,77,88,40,6.93
164,48.16197035023967,-5.663921905008209,plouzane,fr,51.8,100,92,17.22
165,-15.201939465232527,136.44359595555335,alyangula,au,86.89,92,36,21.83
166,-5.510167846084656,39.862039922418006,mtambile,tz,81.04,96,76,10.98
170,39.43695119813836,9.721058822666066,tortoli,it,48.2,76,0,9.17
174,5.428131225596502,120.58021633277673,manubul,ph,83.52,100,8,13.67
175,4.1031877364715115,4.23639691827475,warri,ng,71.59,95,56,2.37
176,69.70803643971539,10.744270712969154,sorland,no,30.2,68,20,2.24
181,13.362664857092312,-70.06742875266796,oranjestad,aw,80.6,83,20,13.87
184,3.890422420051877,56.618589660923476,eyl,so,73.89,94,48,17.25
185,59.33671832185473,-40.460293890289535,nanortalik,gl,24.61,98,0,23.73
186,-35.01566164942224,167.43896606708597,ahipara,nz,73.08,80,68,22.84
187,71.51142059677647,-13.669652943357846,husavik,is,19.4,92,90,8.19
189,55.249208975928696,154.34335053617832,sobolevo,ru,19.48,79,76,20.49
190,27.691538289390195,-59.41679326862534,saint george,bm,62.6,67,75,24.16
193,-44.77270625887453,74.24954620180344,mahebourg,mu,84.2,79,75,12.75
198,31.389856947639075,123.64227465031712,shenjiamen,cn,40.23,100,92,18.25
200,-18.87552602547889,58.162434803282395,cap malheureux,mu,84.2,79,75,12.75
201,-42.92992281192847,165.83737853758208,te anau,nz,71.59,47,36,18.03
205,22.56552486778,-14.165126495673093,atar,mr,40.81,66,0,6.62
209,62.80392480524134,-151.6975349722672,kenai,us,12.99,48,1,20.8
210,17.429305453825947,82.70459607060968,tuni,in,82.26,60,0,4.72
211,6.481522214862167,-6.684128370376186,issia,ci,68.26,91,0,2.59
214,-20.759502923370448,27.642506450257486,masunga,bw,73.4,69,75,8.05
215,-66.3108554165538,154.12342058834696,bluff,nz,72.49,76,92,20.27
216,3.0640239848296744,120.28687809273447,ligayan,ph,81.72,100,20,14
217,52.694843547474875,-15.279147292840207,dingle,ie,45.27,100,92,35.37
218,23.089740250337584,141.02548085765414,shimoda,jp,48.2,49,75,8.05
221,-55.947312346152216,25.316612989062804,kruisfontein,za,66.51,94,80,5.73
223,33.07070314787427,71.1820386174312,lachi,pk,49.81,75,88,2.82
225,2.681856037269114,5.265170992614429,yenagoa,ng,70.83,93,44,2.37
226,-72.66565482426897,18.36842357587389,bredasdorp,za,69.8,64,32,6.93
227,45.91124812669071,2.4442701832106764,ussel,fr,27.63,83,24,3.83
233,53.21670069800314,42.69564682493626,zemetchino,ru,30.46,99,88,6.17
234,32.43968283203414,45.63665190851643,mehran,ir,35.6,64,0,4.7
238,35.06497290708565,45.88851463496263,paveh,ir,19.4,79,0,4.7
241,55.641397252016276,66.41963209081632,lebyazhye,ru,14,85,75,8.95
245,2.7636382817278644,-34.15813825466071,caucaia,br,80.6,78,75,12.75
247,68.74960456237037,-73.02878157392155,clyde river,ca,-36.41,65,90,2.24
248,13.710100005661985,-103.46100884345098,ixtapa,mx,71.6,78,90,4.7
249,-26.26638594632469,-94.87359010297304,pisco,pe,69.8,83,0,6.93
251,40.24582798861812,43.13892288825744,kars,tr,23,79,40,8.05
255,46.18861887730924,10.108178592753461,tirano,it,15.48,84,0,1.12
260,60.948121732608286,8.33604549668172,hemsedal,no,27.49,84,88,5.39
263,24.69614545308076,22.321692098145434,jalu,ly,38.56,85,0,2.93
264,9.602201320192592,116.8475436107309,ransang,ph,81.99,99,36,3.71
266,22.31146788058338,-130.44432102954636,lompoc,us,49.17,81,1,3.27
267,-4.664259031821345,-69.7156382671433,benjamin constant,br,75.2,100,40,5.95
271,56.17791770557622,40.851746008185614,sudogda,ru,29.38,92,80,11.99
274,36.64089226101308,-111.09047905157725,flagstaff,us,36.37,50,1,3.04
275,13.819547344890708,60.12082610364729,salalah,om,77,27,0,17.22
278,66.01942042929727,-172.85532236665205,provideniya,ru,21.2,62,48,2.24
280,45.34883436291369,-14.249379398730895,muros,es,39.2,100,90,6.96
282,42.32707932241786,29.49924457452309,sile,tr,34.39,93,64,6.93
285,34.310385255678995,144.10889057646722,hasaki,jp,48.2,31,75,5.82
287,57.38120455141697,-151.43491609061536,kodiak,us,44.6,45,1,17.22
289,3.2922561864905475,40.55349987601514,mandera,ke,76.09,44,0,6.29
291,85.88888760155334,-57.69013527575028,upernavik,gl,-3.02,100,8,6.51
292,18.046730514049727,-47.970552385959735,bathsheba,bb,75.2,88,20,13.87
296,9.869796032153403,102.97292597819592,kampot,kh,82.03,81,44,7.96
298,62.50593777749313,-64.64756850736784,pangnirtung,ca,-18.1,52,24,5.73
300,63.91999958904634,-68.28698547898897,iqaluit,ca,-13.01,75,5,3.36
301,42.825373390008224,-100.11857486031505,pierre,us,37.4,86,90,8.05
303,-55.83685049450815,-103.2130784470718,castro,cl,43.33,96,8,2.82
304,67.88155625725503,51.807268606598115,naryan-mar,ru,7.83,83,76,6.17
305,-17.671962044314597,-92.42577715364014,huarmey,pe,61.29,90,8,2.71
307,-51.8301352487826,129.84608435770912,mount gambier,au,67.36,48,0,9.42
309,72.47718003921898,23.71243471845355,havoysund,no,22.44,62,0,9.17
310,27.674596369000525,145.55197944781457,katsuura,jp,41,48,75,8.05
312,-39.36151336075072,5.582147061271229,saldanha,za,68,81,0,17.22
314,-20.660350322263596,-59.03649619121366,fuerte olimpo,py,74.88,96,24,3.71
315,51.03858301893291,57.206744769192426,kuvandyk,ru,-13.69,61,36,4.16
317,45.36108510404628,-65.94336505559922,saint john,ca,12.2,85,90,19.46
318,26.785522435302155,110.0134280628476,hongjiang,cn,38.38,78,32,6.51
319,45.19763810140117,-73.160202140819,bedford,ca,15.8,92,90,26.4
321,-6.285840051744955,145.0868169416404,kundiawa,pg,70.96,62,92,2.71
322,39.28348813601923,2.683824954355373,palma,es,37.4,100,20,2.24
324,-6.816282091424412,-34.40173340995449,cabedelo,br,78.8,78,0,6.93
331,86.71627680502132,-124.13411392177446,tuktoyaktuk,ca,-17.92,74,5,2.24
335,-51.5231056746735,-17.96729482771852,arraial do cabo,br,71.91,100,44,9.98
337,51.082018570111416,81.34990250463528,gornyak,ru,27.45,96,80,5.73
340,44.704634572371475,81.10211451431667,yining,cn,39.51,52,68,6.51
343,63.976120722113365,41.93657251796614,lukovetskiy,ru,1.4,84,40,4.47
345,-24.508878686164294,134.68913740641983,alice springs,au,91.4,36,75,5.82
347,-22.951476780694165,155.3664537850364,hervey bay,au,84.28,83,44,9.31
348,53.17122296320605,113.87883347400452,smolenka,ru,-2.21,64,0,2.24
351,-7.318223331368117,-55.252394893019215,jacareacanga,br,77.31,90,76,3.38
353,-16.025683224245952,-160.32027129719648,avarua,ck,78.8,88,90,6.93
357,-34.3109925030034,-69.89516510178107,machali,cl,55.17,64,0,4.05
359,84.6701537880912,24.748097089663418,longyearbyen,sj,3.2,77,20,16.11
361,58.934686192426994,99.11531847644716,kodinsk,ru,7.65,53,64,6.73
370,-34.8791626515929,127.12038505358197,esperance,au,72.36,63,64,17.02
373,-30.19538825373651,36.50659566098477,richards bay,za,73.66,93,88,12.77
374,-8.59663186412702,-85.55675982837728,sechura,pe,71.28,85,12,7.96
380,15.34967739582558,-106.10642330282903,manzanillo,mx,67.5,76,88,3.15
382,-19.61156917129935,80.92668782180448,hithadhoo,mv,81.49,100,0,5.17
383,13.308310550465038,13.951164648664331,diffa,ne,55.26,31,0,12.21
384,-8.290983736632583,134.03033985998314,tual,id,84.96,100,36,10.98
386,-2.645318260527958,162.10991859485966,buala,sb,81.99,97,80,7.74
387,-17.345042735130576,-24.778116861932574,maragogi,br,76.36,96,76,5.95
388,78.71836726791798,96.39391719589804,khatanga,ru,-10.72,73,68,3.27
391,25.87014069544415,-0.15974169520006853,adrar,dz,60.8,23,32,13.87
392,-78.68704767141928,1.4457273870083043,hermanus,za,61.69,92,68,5.61
394,-3.4475840676450105,-49.96577964806113,tucurui,br,73.84,100,76,2.37
401,47.42119559145078,-115.71246565545154,hayden,us,34.97,74,1,8.05
402,41.88673275616199,114.96295884474432,zhangjiakou,cn,19.48,44,0,6.73
406,-19.42222330065694,-72.51096396054476,ilo,pe,56.97,95,24,1.36
409,5.978295632185947,149.55139386137046,lorengau,pg,83.38,100,44,13.33
410,-50.80837698276191,160.6476193736654,tuatapere,nz,71.41,69,56,16.8
417,19.165026338628834,-103.65478444208965,colima,mx,61.74,63,80,2.04
425,-38.18648788686613,144.764812506442,clifton springs,au,65.43,42,75,21.92
429,57.3778442536412,-51.776088229258875,paamiut,gl,22.23,100,32,5.06
432,-12.078179964322288,30.416289798743776,mpika,zm,66.28,100,76,4.16
435,5.882810916826671,-56.63304183174023,wageningen,sr,78.61,97,92,12.44
437,-17.890480074757846,-33.93050927292134,prado,br,81,93,8,23.06
445,-26.336542821840226,-52.09298731493351,palmas,br,71.73,96,0,2.93
448,47.3034839597841,-102.05389329862666,dickinson,us,26.6,73,1,13.87
452,25.252320962183333,-36.28138923791818,ponta do sol,cv,67.81,100,0,22.95
462,-3.1014754454982807,-76.85873359460243,sucua,ec,61.96,89,0,4.16
465,36.60892297563002,151.37588975850554,nemuro,jp,24.8,41,20,3.36
467,-16.086735093712164,155.02120439297454,samarai,pg,86.04,93,92,24.29
472,38.300471304212465,63.620506804007334,sayat,tm,30.2,54,0,4.7
474,4.790452458555308,-71.65441331767792,orocue,co,83.11,50,0,9.86
475,81.32353422557188,-4.884991695347395,klaksvik,fo,35.6,69,92,31.09
477,-12.181316839907709,14.888009193569957,longonjo,ao,62.6,100,75,3.6
478,63.662812872424155,177.6671198356662,anadyr,ru,1.4,77,40,2.24
480,-19.293905940894334,-38.41070810721982,conceicao da barra,br,81.18,85,92,19.15
481,76.61367191557318,-90.66218513225411,qaanaaq,gl,-18.32,100,32,6.06
483,54.05253328898715,-100.32800126691969,the pas,ca,-5.81,70,90,13.87
486,-17.87510842077299,104.72033642541214,banjar,id,78.79,88,80,3.38
489,37.171813519160224,138.55713692009408,kashiwazaki,jp,38.88,93,88,11.54
492,38.54369121725895,46.72816720518614,ahar,ir,17.37,72,0,4.61
493,-0.09490838822173941,64.70413640212178,thinadhoo,mv,81.72,100,0,2.37
494,46.076099010171134,-83.5593805263855,thessalon,ca,17.22,67,90,12.75
498,16.648511839824295,90.89231017128765,pathein,mm,84.15,48,0,9.64
504,55.763129232276555,4.773669902789891,harlingen,nl,46.4,100,75,19.46
505,58.70347858156839,26.42076787910935,jogeva,ee,24.8,79,76,3.36
506,68.76575799704491,120.0694011960909,zhigansk,ru,-33.17,59,12,5.28
507,57.46657620228251,13.208174171848384,boras,se,35.6,93,90,20.8
511,49.021989046062004,91.97388160227325,ulaangom,mn,4.09,65,0,2.37
512,37.375259141558345,14.742642498295737,ramacca,it,43.3,100,40,4.7
513,-39.75145884086719,-94.03932460163405,ancud,cl,42.12,87,0,3.15
524,22.08305472655877,59.22405517662068,sur,om,69.66,100,0,12.1
525,65.92659499779239,118.57079479283897,nyurba,ru,-20.62,59,64,3.71
528,11.632286313462828,-49.732802475568235,sinnamary,gf,78.61,100,92,13.67
529,27.02445378042455,18.762285047269586,awjilah,ly,39.01,88,0,3.6
533,14.686104421471342,-96.71780738761309,pochutla,mx,80.59,100,92,7.18
535,38.140392935841845,117.66128522991613,cangzhou,cn,32.98,63,0,4.61
540,-7.459053616192108,-81.86901920000763,pimentel,pe,71.6,83,0,12.75
541,-3.323762674529675,14.68194566165127,djambala,cg,70.78,95,64,6.4
548,50.6994514441775,-132.15251854845815,prince rupert,ca,33.8,100,90,9.17
549,25.074341699666334,-73.99454334535153,cockburn town,bs,73.93,100,8,24.85
561,53.78747693329785,177.54111631661203,beringovskiy,ru,16.51,100,48,5.5
562,51.63755026524848,79.81296410137662,malinovoye ozero,ru,-0.73,68,0,3.38
563,30.41366901111951,-24.443130890808703,los llanos de aridane,es,60.8,51,64,3.36
569,-14.562395328603401,-43.09674691616408,palmas de monte alto,br,66.96,96,36,6.85
570,40.02443556209121,11.835935873474796,anzio,it,41.85,100,75,2.24
573,-32.02280196655282,78.87417230186577,bambous virieux,mu,84.2,79,75,12.75
578,47.6886554276241,-164.23381287605474,bethel,us,8.6,84,1,23.04
580,26.80903294917306,88.21645070607985,mirik,in,57.46,69,8,1.14
586,-42.562114177118296,-65.69275339058831,puerto madryn,ar,62.68,68,68,19.48
591,-8.00011092645481,-34.240615523669874,olinda,br,71.44,83,75,2.24
598,50.38621176651293,12.715858865244655,nejdek,cz,34.07,96,75,3.36
